level,feature_id,lgd_code,name,stations,cities,pct_area_within_50km,area_km2
district,732,732,Tirupathur,0,0,1.5,2112
district,595,595,Vellore,0,0,70.9,2105
district,729,729,Kallakurichi,0,0,10.3,3501
district,581,581,Perambalur,0,0,7.2,1755
district,591,591,Tiruchirappalli,0,0,48.9,4495
district,580,580,Namakkal,0,0,32.2,3415
district,576,576,Karur,0,0,12.6,2903
district,634,634,Tiruppur,0,0,61.1,5193
district,584,584,Salem,0,0,8.1,6012
district,571,571,Dharmapuri,0,0,0.6,4492
district,531,531,Chamarajanagara,0,0,6.0,5645
district,563,563,Palakkad,0,0,82.0,4483
district,587,587,The Nilgiris,0,0,15.9,2427
district,562,562,Malappuram,0,0,11.8,3556
district,561,561,Kozhikode,0,0,24.2,2348
district,599,599,Mahe,0,0,100.0,8
district,567,567,Wayanad,0,0,10.8,2132
district,539,539,Hassan,0,0,47.6,6813
district,544,544,Mandya,0,0,49.3,4955
district,533,533,Chitradurga,0,0,0.5,8437
district,535,535,Davangere,0,0,41.3,4487
district,738,738,Vijayanagar,0,0,0.0,5638
district,528,528,Ballari,0,0,0.0,4251
district,546,546,Raichur,0,0,6.8,8442
district,543,543,Koppal,0,0,5.0,5578
district,537,537,Gadag,0,0,28.1,4656
district,529,529,Bidar,0,0,8.0,5451
district,721,721,Narayanpet,0,0,49.8,2357
district,693,693,Wanaparthy,0,0,0.0,2224
district,512,512,Mahabubnagar,0,0,0.0,2803
district,698,698,Vikarabad,0,0,42.8,3702
district,513,513,Medak,0,0,53.8,2752
district,692,692,Siddipet,0,0,22.7,3726
district,697,697,Yadadri Bhuvanagiri,0,0,67.8,3229
district,694,694,Nagarkurnool,0,0,0.0,6203
district,755,755,Nandyal,0,0,0.0,9724
district,695,695,Jogulamba Gadwal,0,0,0.0,2572
district,511,511,Kurnool,0,0,0.0,7943
district,515,515,Spsr Nellore,0,0,2.4,10391
district,517,517,Prakasam,0,0,0.0,14274
district,750,750,Bapatla,0,0,12.1,3885
district,748,748,Eluru,0,0,46.3,6583
district,523,523,West Godavari,0,0,41.7,2125
district,747,747,Konaseema,0,0,44.8,2378
district,746,746,Kakinada,0,0,37.5,3054
district,601,601,Yanam,0,0,0.0,37
district,744,744,Anakapalli,0,0,46.0,4025
district,745,745,Alluri Sitharama Raju,0,0,4.0,12691
district,690,690,Bhadradri Kothagudem,0,0,0.0,6909
district,509,509,Khammam,0,0,7.3,4677
district,696,696,Suryapet,0,0,0.0,3592
district,751,751,Palnadu,0,0,19.9,7299
district,514,514,Nalgonda,0,0,0.7,7203
district,522,522,Warangal,0,0,0.0,1749
district,688,688,Mahabubabad,0,0,0.0,3543
district,686,686,Hanumakonda,0,0,0.0,1658
district,689,689,Jangoan,0,0,0.1,2397
district,508,508,Karimnagar,0,0,0.0,2004
district,687,687,Jayashankar Bhupalapally,0,0,0.0,2877
district,684,684,Mancherial,0,0,0.0,3854
district,682,682,Peddapalli,0,0,0.0,2193
district,699,699,Kumuram Bheem Asifabad,0,0,1.3,4538
district,475,475,Gadchiroli,0,0,0.6,14508
district,636,636,Bijapur,0,0,0.0,9277
district,720,720,Mulugu,0,0,0.0,4288
district,376,376,Dantewada,0,0,0.0,2791
district,642,642,Sukma,0,0,0.0,5653
district,364,364,Malkangiri,0,0,0.0,5782
district,363,363,Koraput,0,0,0.0,8391
district,366,366,Nabarangpur,0,0,0.0,5457
district,643,643,Kondagaon,0,0,0.0,5080
district,374,374,Bastar,0,0,0.0,5224
district,637,637,Narayanpur,0,0,0.0,3905
district,381,381,Kanker,0,0,0.0,7184
district,646,646,Balod,0,0,37.5,3372
district,377,377,Dhamtari,0,0,17.2,4083
district,645,645,Gariyaband,0,0,7.9,4846
