district_id,district_name,state_name,year,min,max,mean,sum,std,median,valid_pixel_count,valid_pixel_share,log1p_mean,log1p_median
532,Adilabad,Andhra Pradesh,2012,0.0,13.673238754272461,0.20484627285314,3500.00341796875,0.5309651053843133,0.07525581121444702,17086.0,,0.1863519844085785,0.07255859719111915
146,Agra,Uttar Pradesh,2012,0.07770919799804688,39.4571418762207,1.7507299471132658,7944.8125,3.9381413036377753,0.7325860261917114,4538.0,,1.0118663117706743,0.5496151052166941
474,Ahmadabad,Gujarat,2012,0.0,80.15211486816406,1.2671106846821718,11073.2802734375,3.8283262988967115,0.25353866815567017,8739.0,,0.8185061946309097,0.22597048629013358
522,Ahmadnagar,Maharashtra,2012,0.06999685615301132,29.19629669189453,0.5201956243118635,9449.353515625,0.8144041785793984,0.35158994793891907,18165.0,,0.4188390267821975,0.301281638673579
283,Aizawl,Mizoram,2012,0.0,7.8862128257751465,0.18261906184308738,749.2860107421875,0.3946995094986527,0.12864524126052856,4103.0,,0.16773152286346615,0.12101801192750675
119,Ajmer,Rajasthan,2012,0.024712760001420975,44.707374572753906,0.6577466993129851,6270.95703125,1.6457096065086179,0.2844037413597107,9534.0,,0.5054592702004542,0.25029459615307664
501,Akola,Maharashtra,2012,0.0,15.343727111816406,0.3850706326403237,2236.490234375,0.8240888175060676,0.2075166404247284,5808.0,,0.3257511366351955,0.18856588733967933
598,Alappuzha,Kerala,2012,0.0,4.859958648681641,0.45552948271087834,661.8843383789062,0.4484699781779828,0.37046927213668823,1453.0,,0.37536974006907187,0.3151532155948586
143,Aligarh,Uttar Pradesh,2012,0.08908236771821976,32.30657196044922,0.8192454578168952,3494.901123046875,1.671814271482034,0.4880962371826172,4266.0,,0.5984218315080655,0.3974976098454809
465,Alirajpur,Madhya Pradesh,2012,0.0,19.2878360748291,0.2339785328949641,846.768310546875,0.5264537728681193,0.1799543797969818,3619.0,,0.2102435289744742,0.1654757765412119
175,Allahabad,Uttar Pradesh,2012,0.019554641097784042,48.13725280761719,1.0563890708570567,6122.8310546875,2.532151453944968,0.5626199245452881,5796.0,,0.7209515664880737,0.4463638513921422
64,Almora,Uttarakhand,2012,0.1065225601196289,12.034172058105469,0.36125737931875174,1296.552734375,0.4580559937149625,0.2912048101425171,3589.0,,0.3084088162374851,0.2555757438538365
104,Alwar,Rajasthan,2012,0.14336617290973663,37.639678955078125,1.1014805927513536,10374.845703125,1.7736933865761422,0.7344988584518433,9419.0,,0.7426421404698107,0.5507185292849562
70,Ambala,Haryana,2012,0.2627931237220764,22.830411911010742,1.4587818965976962,2564.53857421875,2.3543478312360695,0.7875421047210693,1758.0,,0.8996660633254249,0.580841550397319
178,Ambedkar Nagar,Uttar Pradesh,2012,0.0556333027780056,17.850767135620117,0.4456449717340451,1160.9051513671875,0.7885257224612179,0.30500590801239014,2605.0,,0.3685555692018985,0.26620756797696843
